state,year,sid,cdl,pre2_cdl,caselaw,anywhere,assumption,civil,homicide_c,robbery_gun_r,jhcitizen_c,jhpolice_c,homicide,robbery,assault,burglary,larceny,motor,murder,hc_felonywsus,jhcitizen,jhpolice,population,police,unemployrt,income,blackm_15_24,whitem_15_24,blackm_25_44,whitem_25_44,prisoner,lagprisoner,poverty,exp_subsidy,exp_pubwelfare,northeast,midwest,south,west,effyear
Alabama,2000,1,0,0,0,0,0,0,329,0.210803226,1,0,7.593978405,131.6135712,325.6177979,930.920166,2940.623779,295.6573486,6.532206535,0.484722018,0.046164002,0.023082001,4332380,348.8382829,4.099999905,44851,2.222242832,4.694809914,3.471694469,10.41443729,605.3255005,564.2741089,14.70598147,212.2611694,1018.497009,0,0,1,0,2006
Alabama,2001,1,0,0,0,0,0,0,379,0.214362457,2,0,8.713442802,128.3795929,281.6350403,934.3845825,2758.689941,290.1185608,7.494940281,0.666727841,0.068971843,0.022990614,4349601,351.8253743,4.699999809,43301,2.249953508,4.700201035,3.440246582,10.18638229,614.7920532,605.3255005,15.75020329,221.8902893,1068.928589,0,0,1,0,2006
Alabama,2002,1,0,0,0,0,0,0,303,0.4240188,3,2,6.933287621,136.4233093,274.6314087,974.2756958,2835.829102,317.8328857,6.406998634,0.594935596,0.09152855,0.068646416,4370221,311.4945446,5.400000095,45573,2.258260965,4.685461044,3.403992653,9.957734108,640.1049194,614.7920532,15.55655881,257.7263794,1139.962646,0,0,1,0,2006
Alabama,2003,1,0,0,0,0,0,0,299,0.245445505,2,1,6.818006516,137.6826935,258.5369873,986.1026611,2828.423828,341.0599365,6.567176819,0.319237769,0.068408094,0.045605395,4385446,348.5620391,5.5,44165,2.292948008,4.688166142,3.38321352,9.791410446,636.4916992,640.1049194,15.44780166,270.9400024,1224.665894,0,0,1,0,2006
Alabama,2004,1,0,1,0,0,0,0,254,0.261006296,3,0,5.753689289,136.8653107,255.654068,1011.788513,2800.959229,317.6761169,5.595122814,0.226523191,0.090609275,0.022652319,4414559,327.9149741,5.099999905,42280,2.291327477,4.661734104,3.358840704,9.599033356,586.4005737,636.4916992,16.252654,264.9615479,1194.543579,0,0,1,0,2006
Alabama,2005,1,0,1,0,0,0,0,374,0.187373966,0,1,8.41857338,145.1190948,254.2003937,978.5578613,2718.703857,295.7755432,6.932942867,0.562738836,0.022509554,0.045019109,4442558,287.8071597,3.900000095,41491,2.312046289,4.635865211,3.357209921,9.449510574,627.74646,586.4005737,16.87298174,78.91187286,1103.141846,0,0,1,0,2006
Alabama,2006,1,0.580821931,0,0,1,0,1,368,0.215277776,3,3,8.00168705,153.4236603,227.8741455,968.9216919,2645.123047,322.9376526,6.784039021,0.456618041,0.086974859,0.086974859,4599030,341.3111026,3.599999905,41041,2.269239426,4.483489037,3.292868376,9.088829994,614.06427,627.74646,16.16767014,83.17576599,1061.683716,0,0,1,0,2006
Alabama,2007,1,1,0,0,1,0,1,392,0.213320717,3,4,8.547940254,161.4077911,248.3481903,989.1188354,2711.615967,310.4952087,7.653895855,0.719597042,0.08722388,0.109029852,4585900,356.4621994,3.5,44388,2.289801359,4.504066944,3.338494062,9.052967072,641.3571777,614.06427,16.35877363,93.83240509,1093.531494,0,0,1,0,2006
Alabama,2008,1,1,0,0,1,0,1,357,0.317810446,3,1,7.718327999,158.7770386,254.8994141,1089.192261,2734.08252,290.8317871,7.264308929,0.540499151,0.086479865,0.043239933,4625354,349.6381034,4.900000095,45039,2.285014391,4.473387241,3.351938009,8.916204453,659.5819702,641.3571777,15.60691355,91.43205261,1003.311646,0,0,1,0,2006
Alabama,2009,1,1,0,0,1,0,1,322,0.296727866,0,0,6.94960022,135.2150421,282.796936,1054.18103,2548.302002,239.3727264,6.863269806,0.496400028,0.021582609,0.021582609,4633360,365.1130065,9.899999619,40640,2.277763844,4.455017567,3.386786222,8.858172417,685.9816895,659.5819702,17.37881365,103.8395767,1195.941772,0,0,1,0,2006
Alabama,2010,1,1,0,0,1,0,1,273,0.214030668,0,0,5.742759705,100.151207,245.5503082,884.2167358,2428.745605,222.9789429,4.606829166,0.2945005,0.021035749,0.021035749,4753812,340.8843261,10,40976,2.182816744,4.515512943,3.17740798,8.610016823,668.1795654,685.9816895,16.97416726,114.0684586,1268.988525,0,0,1,0,2006
Alaska,2000,2,0,0,0,0,0,0,27,0.365306109,0,2,4.443837166,80.64741516,418.0498657,641.7230225,2771.308594,386.7784424,3.950077534,0.822932839,0.164586574,0.493759692,607583,293.9516083,6.199999809,66910,0.330654413,4.962943554,0.683363438,12.25363445,686.8197632,637.449585,8.631248735,355.6733093,1906.709473,0,0,0,1,2006
Alaska,2001,2,0,0,0,0,0,0,39,0.367704272,1,1,6.335992813,83.50513458,435.5588989,624.9888306,2712.292236,425.323822,5.523685932,0.812306762,0.324922711,0.324922711,615531,295.8421266,6.199999809,70645,0.361476511,5.221670628,0.679250896,11.71411324,742.6108398,686.8197632,8.830911847,302.9398193,2045.476807,0,0,0,1,2006
Alaska,2002,2,0,0,0,0,0,0,33,0.384458065,0,3,5.286326885,78.33374786,415.537323,626.0292358,2841.640869,395.8337402,5.446518421,0.640766859,0.160191715,0.640766859,624252,297.4760193,7.099999905,63960,0.392629892,5.386606693,0.68033421,11.23744869,704.5231934,742.6108398,9.440418293,306.4710388,2234.010498,0,0,0,1,2006
Alaska,2003,2,0,0,0,0,0,0,39,0.302690595,0,2,6.192127228,70.81253052,442.4989624,615.0846558,2866.002441,390.7391052,6.192127228,1.587724924,0.158772498,0.476317495,629832,287.6957665,7.699999809,61452,0.38581717,5.530522346,0.661922574,10.82018661,718.7631226,704.5231934,10.02267271,280.5953064,2470.201172,0,0,0,1,2006
Alaska,2004,2,0,1,0,0,0,0,37,0.333333343,3,2,5.817948341,70.28710938,490.1228638,593.2734985,2540.871094,352.2217407,5.66070652,0.314483702,0.628967404,0.471725553,635963,298.1305516,7.400000095,63559,0.434302002,5.875341892,0.670164764,10.6287632,716.0794067,718.7631226,10.16725816,374.9663696,2671.109375,0,0,0,1,2006
Alaska,2005,2,0,1,0,0,0,0,32,0.309124768,0,1,4.986567497,83.68083191,481.0479126,643.7346802,2687.915771,404.3794556,4.986567497,1.558302283,0.155830234,0.311660469,641724,286.415967,6.900000095,62422,0.459231704,6.035616398,0.671784103,10.46992207,749.8551025,716.0794067,10.76677824,340.1904907,2483.223389,0,0,0,1,2006
Alaska,2006,2,0.295890421,0,0,0,1,1,36,0.307178617,2,1,5.372709274,89.39591217,516.0785522,615.1752319,2588.451904,378.3282776,5.22346735,1.343177319,0.447725773,0.298483849,670053,289.08161,6.699999809,61010,0.435935676,5.839985847,0.653530419,10.00383568,756.5073242,749.8551025,10.61408575,309.2689819,2423.847168,0,0,0,1,2006
Alaska,2007,2,1,0,0,0,1,1,44,0.297762483,1,2,6.501393318,85.84794617,496.6177979,544.196167,2504.513916,358.6109619,6.353634357,0.886553645,0.295517892,0.443276823,676778,278.968879,6.199999809,66241,0.44844839,5.745458603,0.681168735,9.999438286,763.470459,756.5073242,9.643634988,283.9787292,2297.563721,0,0,0,1,2006
Alaska,2008,2,1,0,0,0,1,1,27,0.259316772,0,2,3.963390112,94.53419495,493.6622314,474.4324646,2236.379639,239.2713165,3.963390112,0.440376669,0.146792218,0.440376669,681235,288.1531336,6.900000095,64798,0.47957018,5.729447365,0.727061868,10.06539631,736.0162354,763.470459,9.082181626,266.8231812,2196.167236,0,0,0,1,2006
Alaska,2009,2,1,0,0,0,1,1,22,0.258409798,4,2,3.220413923,95.73412323,473.5472412,526.9768066,2232.47876,246.9471893,3.220413923,0.878294706,0.731912255,0.439147353,683142,289.3981046,8.300000191,62621,0.414408714,5.324515343,0.678482652,9.992359161,773.6312256,736.0162354,9.068246426,277.3604431,2355.110596,0,0,0,1,2006
Alaska,2010,2,1,0,0,0,1,1,31,0.264309764,2,5,4.427856445,84.84344482,482.6363831,443.4998474,2218.92749,231.2483826,4.427856445,0.571336329,0.428502262,0.857004523,700113,277.6694619,8.100000381,58198,0.339088112,4.920919895,0.625756145,10.1426487,799.4423828,773.6312256,8.899277688,295.0423584,2570.816406,0,0,0,1,2006
Arizona,2000,3,0,0,1,0,0,0,359,0.415245205,7,18,7.150280476,149.458786,355.3430481,1033.743408,3519.47168,860.503418,7.229949474,1.453956723,0.159337729,0.378427118,5020782,358.9679855,4,50370,0.269021839,4.002065659,0.566206634,9.467230797,528.0053711,543.8299561,12.88169851,142.4576569,766.2685547,0,0,0,1,2006
